date,pc_new_registrations,reg_electric,reg_bev,reg_phev,pc_domestic_production,prod_electric,prod_bev,prod_phev
2016-01-01,218365,1454,477,977,416983,9607,2853,6754
2016-02-01,250146,1994,751,1237,529061,12244,3290,8954
2016-03-01,322913,2401,1104,1292,523210,11976,3391,8585
2016-04-01,315921,1581,604,964,550158,11611,3550,8061
2016-05-01,286931,1382,588,793,445393,10214,3153,7061
2016-06-01,339563,1710,833,865,563546,11934,3270,8664
2016-07-01,278866,1803,785,1016,410630,8589,3358,5231
2016-08-01,245076,1732,895,837,410256,12722,4802,7920
2016-09-01,298002,3066,1641,1421,529463,15716,4791,10925
2016-10-01,262724,2618,1167,1449,464434,13228,4182,9046
2016-11-01,276567,2652,1231,1419,535180,13458,4535,8923
2016-12-01,256533,2817,1334,1481,368494,9267,2800,6467
2017-01-01,241399,2857,1323,1533,459282,10650,3230,7420
2017-02-01,243602,2990,1546,1443,487600,11141,3587,7554
2017-03-01,359683,4481,2191,2288,567605,15447,4685,10762
2017-04-01,290697,3589,1413,2176,450717,14578,4063,10514
2017-05-01,323952,3846,1520,2323,482362,16526,4617,11861
2017-06-01,327693,4702,2196,2503,473778,15631,3590,12040
2017-07-01,283080,4261,1820,2417,376087,12123,2804,9319
2017-08-01,253680,4803,2177,2617,452786,16394,5180,11214
2017-09-01,288035,5393,2247,3118,525976,16839,5717,11122
2017-10-01,272855,5067,2180,2885,428029,14641,4240,10392
2017-11-01,302636,6311,3031,3260,581194,21186,6348,14821
2017-12-01,253950,6315,3412,2876,360168,13493,4483,9010
2018-01-01,269429,5649,2764,2870,453716,14951,5257,9694
2018-02-01,261749,5108,2546,2559,447565,14760,4412,10339
2018-03-01,347433,6816,3792,3018,526698,16623,4497,12126
2018-04-01,314055,5814,3171,2632,485519,15609,4064,11545
2018-05-01,305057,4787,2310,2465,437671,17163,4409,12754
2018-06-01,341308,5804,2651,3139,495652,16218,5394,10818
2018-07-01,317848,5627,2526,3091,378651,12884,3297,9574
2018-08-01,316405,5901,2457,3431,310076,16738,5722,11005
2018-09-01,200134,4736,2357,2362,401084,16718,6533,10180
2018-10-01,252628,5400,3390,1996,427322,14743,6383,8353
2018-11-01,272674,6284,4262,2004,458820,15280,8004,7260
2018-12-01,237058,5729,3836,1875,297635,9527,5192,4327
2019-01-01,265702,6784,4648,2119,373129,12074,6509,5543
2019-02-01,268867,6851,4637,2202,439882,13858,7151,6685
2019-03-01,345523,9691,6616,3061,453605,14935,7522,7401
2019-04-01,310715,7788,4768,3003,406359,14191,6804,7387
2019-05-01,332962,7915,4630,3269,443885,13372,7465,5896
2019-06-01,325231,8655,5760,2871,375186,10363,7065,3286
2019-07-01,332788,9257,5963,3270,355112,13159,5682,7473
2019-08-01,313748,8141,5001,3120,311919,16017,7815,8183
2019-09-01,244622,9459,5880,3572,416400,20048,5994,14037
2019-10-01,284593,11935,4979,6947,391949,24762,6398,18349
2019-11-01,299127,11001,4651,6334,418867,24403,7842,16544
2019-12-01,283380,11360,5748,5580,277456,16662,5796,10866
2020-01-01,246300,16143,7492,8639,341130,18335,7841,10476
2020-02-01,239943,16531,8154,8354,388668,25500,8625,16869
2020-03-01,215119,19775,10329,9426,289648,19605,6181,13424
2020-04-01,120840,10277,4635,5618,11287,1393,810,583
2020-05-01,168148,12358,5578,6755,158541,12447,5653,6794
2020-06-01,220272,18896,8119,10749,305080,30633,11167,19466
2020-07-01,314938,35955,16798,19119,330084,42178,12843,29335
2020-08-01,251044,33203,16076,17095,195493,33959,18751,15208
2020-09-01,265227,41353,21188,20127,373507,62220,30486,31734
2020-10-01,274303,48039,23158,24859,384540,56676,20234,36442
2020-11-01,290150,59610,28965,30621,449701,71702,24225,47477
2020-12-01,311394,82800,43671,39107,287809,53737,26697,27040
2021-01-01,169754,36911,16315,20588,237105,37394,14290,23104
2021-02-01,194349,40185,18278,21879,322612,60527,24119,36408
2021-03-01,292349,65760,30101,35580,378669,75378,37115,38263
2021-04-01,229650,50839,23816,26988,297384,53275,25479,27796
2021-05-01,230635,54041,26786,27222,245806,50810,25226,25584
2021-06-01,274152,64771,33420,31314,253869,44959,20120,24839
2021-07-01,236393,55656,25464,30154,245260,53343,32095,21248
2021-08-01,193307,53404,28860,24497,123504,24356,13293,11063
2021-09-01,196972,56554,33655,22842,222297,49174,31973,17201
2021-10-01,178683,54327,30560,23734,214233,46898,26265,20633
2021-11-01,198258,68198,40270,27899,307749,71802,41835,29967
2021-12-01,227630,81228,48436,32752,247677,50901,31378,19523
2022-01-01,184112,39823,20892,18900,251969,46256,24604,21652
2022-02-01,200512,49924,28306,21583,309534,61561,33980,27581
2022-03-01,241330,61798,34474,27288,265329,43227,22078,21149
2022-04-01,180264,43919,22175,21697,257934,59794,42101,17693
2022-05-01,207199,52427,29182,23209,303379,65918,43579,22339
2022-06-01,224558,58492,32234,26203,297963,71858,50256,21602
2022-07-01,205911,52579,28815,23712,250382,60698,42307,18391
2022-08-01,199183,57040,32006,24719,231320,63510,42319,21191
2022-09-01,224816,72746,44389,28336,371042,97984,65785,32199
2022-10-01,208642,67883,35781,32064,283933,90995,60186,30809
2022-11-01,260512,102656,57980,44581,396373,134395,94001,40394
2022-12-01,314318,174200,104325,69801,261199,88380,63793,24587
2023-01-01,179247,27008,18136,8853,326251,97650,75088,22562
2023-02-01,206210,44405,32475,11916,380597,109293,84418,24875
2023-03-01,281361,60932,44125,16776,438562,126854,100845,26009
2023-04-01,202947,41551,29740,11787,316039,96638,77618,19020
2023-05-01,246966,56617,42780,13803,377206,117419,90259,27160
2023-06-01,280139,68952,52988,15930,384738,121447,92047,29400
2023-07-01,243277,63069,48682,14345,290354,91126,69511,21615
2023-08-01,273417,101252,86649,14552,253507,88674,66704,21970
2023-09-01,224502,47100,31714,15383,359613,115579,85239,30340
2023-10-01,218959,53698,37334,16361,322843,103517,70980,32537
2023-11-01,245701,63068,44942,18124,401407,120721,86295,34426
2023-12-01,241883,72554,54654,17894,258254,77862,56370,21492
2024-01-01,213553,36873,22474,14394,301538,86663,63358,23305
2024-02-01,217388,42062,27479,14575,374140,112900,82458,30442
2024-03-01,263844,47421,31384,16016,360821,104988,78963,26025
2024-04-01,243102,44808,29668,15135,396427,120029,97113,22916
2024-05-01,236425,43756,29708,14038,305554,91288,73653,17635
2024-06-01,297329,58816,43412,15391,349310,108564,86404,22160
2024-07-01,238263,45584,30762,14811,318585,102613,77492,25121
2024-08-01,197322,40606,27024,13565,300964,110703,87663,23040
2024-09-01,208848,49454,34479,14936,379324,139317,109936,29381
2024-10-01,231992,54842,35491,19337,366585,142485,108655,33830
2024-11-01,244544,55778,35167,20604,390819,154668,119465,35203
2024-12-01,224721,52672,33561,19103,225155,75274,71910,3364
2025-01-01,207640,52212,34498,17712,337231,132981,103171,29810
2025-02-01,203434,55486,35949,19534,355942,135680,101420,34260
2025-03-01,253497,69077,42521,26553,388583,152067,113091,38976
2025-04-01,242728,69858,45535,24317,365369,152454,110595,41859
2025-05-01,239297,68251,43060,25181,366879,148159,105040,43119
2025-06-01,256193,72790,47163,25608,357344,142769,101767,41002
2025-07-01,264802,75812,48614,27197,343166,131723,89285,42438
2025-08-01,207229,63342,39367,23973,239186,91401,68729,22672
2025-09-01,235528,73181,45495,27685,391740,173330,122647,50683
2025-10-01,250133,83371,52425,30946,352502,132739,96355,36384
2025-11-01,250671,88176,55741,32433,390312,162520,121495,41025
2025-12-01,246439,85033,54774,30259,260582,110285,83390,26895
2026-01-01,193981,64484,42692,21790,305747,118551,87936,30615
2026-02-01,211262,70606,46275,24328,359811,138969,104605,34364
2026-03-01,294161,100660,70663,29996,403394,165169,127042,38127
2026-04-01,249163,91898,64350,27546,352966,132616,97187,35429
